,customer_id,company_name,industry,region,signup_date,plan_type,monthly_usage,support_tickets,last_active_date,churn_flag,lifetime_value,nps_score
0,1,Woodard-Ward,Technology,Asia-Pacific,4/24/2026,Basic,14,1,8/3/2026,0,258.21,15
1,2,Fleming Group,Finance,Asia-Pacific,1/21/2025,Free,2,0,9/3/2025,1,4.26,70
2,3,Butler Group,Logistics,Europe,6/19/2022,Free,2,0,7/11/2022,1,19.35,-21
3,4,"Brown, Weber and Burke",Manufacturing,North America,7/27/2025,Pro,29,1,8/4/2025,0,900.71,7
4,5,Hoffman-Diaz,Logistics,North America,4/11/2024,Pro,21,1,4/27/2024,0,859.56,28
5,6,Rodriguez Group,Finance,Asia-Pacific,5/22/2025,Pro,35,3,7/1/2025,0,1003.83,30
6,7,Moreno PLC,Manufacturing,North America,7/31/2025,Free,3,0,10/26/2025,1,11.89,3
7,8,Pierce LLC,Logistics,North America,11/21/2025,Free,8,0,12/13/2025,0,74.3,-11
8,9,Hall Group,Manufacturing,Europe,5/8/2026,Pro,27,3,5/26/2026,0,1013.72,21
9,10,Giles Inc,Retail,Europe,1/13/2026,Basic,15,2,2/3/2026,0,259.68,40
10,11,Reynolds Inc,Logistics,North America,6/27/2022,Free,4,0,7/26/2022,1,34.99,37
11,12,"Barr, Grant and Smith",Finance,North America,1/19/2024,Basic,20,0,3/15/2024,0,395.54,17
12,13,Ross Group,Logistics,North America,11/13/2025,Basic,19,2,2/2/2026,0,333.35,5
13,14,"Cole, Kane and Long",Finance,Asia-Pacific,6/23/2023,Basic,18,0,9/12/2023,0,315.6,-14
14,15,Nelson Group,Retail,North America,9/18/2022,Free,4,0,10/7/2022,1,16.44,71
15,16,"Williams, Abbott and Smith",Manufacturing,Asia-Pacific,5/4/2023,Enterprise,57,6,6/22/2023,0,5262.62,48
16,17,"Douglas, Hutchinson and Fields",Manufacturing,Latin America,10/8/2023,Free,5,0,10/15/2023,1,23.46,44
17,18,Owens Group,Manufacturing,Europe,9/14/2022,Pro,28,2,1/26/2023,0,1036.69,40
18,19,Simpson-Clark,Retail,North America,2/13/2024,Free,4,0,2/27/2024,1,32.4,3
19,20,"Shannon, Juarez and Gallegos",Finance,Europe,11/22/2023,Basic,24,1,8/3/2024,0,261.69,28
20,21,Garcia-Boone,Retail,North America,7/16/2024,Free,3,0,7/29/2024,1,8.04,43
21,22,Chen Inc,Logistics,North America,2/12/2026,Free,5,1,3/2/2026,1,37.86,-17
22,23,Summers Ltd,Retail,Asia-Pacific,1/19/2025,Basic,20,0,2/25/2025,0,293.55,-24
23,24,"Morales, Oliver and Randall",Healthcare,Europe,2/15/2024,Free,2,2,3/3/2024,1,14.11,-33
24,25,"Mason, Fields and Leon",Healthcare,Latin America,2/10/2025,Free,5,1,3/26/2025,1,25.06,13
25,26,"Ross, Maldonado and Gould",Healthcare,North America,5/12/2026,Free,8,3,7/4/2026,0,77.2,-45
26,27,Gibson-Stephenson,Retail,Europe,4/19/2024,Basic,12,0,6/30/2024,0,306.71,81
27,28,"Webb, Malone and Sellers",Technology,Asia-Pacific,12/2/2025,Free,9,1,6/2/2026,0,37.24,-38
28,29,"Flowers, Perez and Pope",Manufacturing,North America,9/25/2022,Basic,15,0,12/26/2022,0,299.4,-23
29,30,Bailey-Lopez,Finance,Europe,8/10/2025,Enterprise,58,2,8/29/2025,0,5203.12,77
30,31,Poole and Sons,Technology,Asia-Pacific,1/25/2024,Basic,16,0,7/1/2024,0,283.79,22
31,32,Haley Group,Logistics,Asia-Pacific,7/29/2024,Basic,22,1,8/18/2024,0,249.45,10
32,33,Morris-Butler,Manufacturing,Asia-Pacific,1/19/2025,Basic,14,1,2/28/2025,0,310.79,65
33,34,"Morgan, Jordan and Skinner",Technology,North America,12/9/2022,Enterprise,42,5,4/8/2023,0,5314.58,44
34,35,Wells-Singh,Technology,North America,6/5/2024,Basic,7,0,6/30/2024,1,225.95,-6
35,36,"Schmitt, Frank and Robinson",Technology,Europe,4/18/2023,Free,7,0,8/1/2023,1,66.17,-24
36,37,Esparza Inc,Technology,Europe,2/6/2023,Enterprise,50,0,2/11/2023,0,5293.68,69
37,38,Johnson-White,Manufacturing,North America,11/26/2022,Free,6,0,1/16/2023,1,34.74,-17
38,39,Lopez-Curtis,Healthcare,North America,8/15/2024,Free,10,1,10/28/2024,0,85.6,2
39,40,Lozano-Chapman,Logistics,Europe,2/25/2023,Free,5,0,5/27/2023,1,34.97,6
40,41,Henderson Ltd,Logistics,North America,10/14/2022,Basic,20,2,11/28/2022,0,376.58,19
41,42,"Maxwell, Butler and Robinson",Technology,North America,11/3/2024,Free,7,1,11/10/2024,1,49.07,18
